2017-09-02,2017-12-25,6.3
2017-09-02,2017-12-26,3.5
2017-09-02,2017-12-27,0.1
2017-09-02,2017-12-28,2.8
2017-09-02,2017-12-29,0.2
2017-09-02,2017-12-30,11.9
2017-09-02,2017-12-31,211.1
2017-09-02,2018-01-01,1
2017-09-02,2018-01-02,0.9
2017-09-02,2018-01-03,42.4
2017-09-02,2018-01-04,0.52
2017-09-02,2018-01-05,1.3
2017-09-02,2018-01-06,0
2017-09-02,2018-01-07,4.1
2017-09-02,2018-01-08,1
2017-09-02,2018-01-09,2.2
2017-09-02,2018-01-10,3.5
2017-09-02,2018-01-11,0.4
2017-09-02,2018-01-12,0
2017-09-02,2018-01-13,10.9
2017-09-02,2018-01-14,1.6
2017-09-02,2018-01-15,1
2017-09-02,2018-01-16,2.2
2017-09-02,2018-01-17,17.3
2017-09-02,2018-01-18,1
2017-09-02,2018-01-19,23.4
2017-09-02,2018-01-20,1.6
2017-09-02,2018-01-21,NULL
2017-09-02,2018-01-22,1.5
2017-09-02,2018-01-23,0
2017-09-02,2018-01-24,1.6
2017-09-02,2018-01-25,NULL
2017-09-03,2017-09-01,NULL
2017-09-03,2017-09-02,NULL
2017-09-03,2017-09-03,1011.097
2017-09-03,2017-09-04,69.258
2017-09-03,2017-09-05,800.16
2017-09-03,2017-09-06,81.947
2017-09-03,2017-09-07,86.3
2017-09-03,2017-09-08,7.9
2017-09-03,2017-09-09,44.66
2017-09-03,2017-09-10,735.5599999999999
2017-09-03,2017-09-11,173.47
2017-09-03,2017-09-12,217.572
2017-09-03,2017-09-13,20.766
2017-09-03,2017-09-14,170.07
2017-09-03,2017-09-15,208.84
2017-09-03,2017-09-16,148.26
2017-09-03,2017-09-17,198.59
2017-09-03,2017-09-18,3.64
2017-09-03,2017-09-19,198.34
2017-09-03,2017-09-20,66.232
2017-09-03,2017-09-21,394.3705
2017-09-03,2017-09-22,335.1205
2017-09-03,2017-09-23,406.85
2017-09-03,2017-09-24,1058.6705
2017-09-03,2017-09-25,303.59
2017-09-03,2017-09-26,91.78
2017-09-03,2017-09-27,126.135
2017-09-03,2017-09-28,34.57
2017-09-03,2017-09-29,1539.11
2017-09-03,2017-09-30,0.15
2017-09-03,2017-10-01,2.58
2017-09-03,2017-10-02,0.19
2017-09-03,2017-10-03,0.36
2017-09-03,2017-10-04,112.13
2017-09-03,2017-10-05,100.04
2017-09-03,2017-10-06,124.36
2017-09-03,2017-10-07,116.28
2017-09-03,2017-10-08,106.07
2017-09-03,2017-10-09,166.09
2017-09-03,2017-10-10,115.32
2017-09-03,2017-10-11,114.5
2017-09-03,2017-10-12,119.91
2017-09-03,2017-10-13,114.99
2017-09-03,2017-10-14,489.69
2017-09-03,2017-10-15,87.01000000000001
2017-09-03,2017-10-16,0.32
2017-09-03,2017-10-17,0.17
2017-09-03,2017-10-18,42.84
2017-09-03,2017-10-19,32.59
2017-09-03,2017-10-20,205.93
2017-09-03,2017-10-21,0.41
2017-09-03,2017-10-22,18.74
2017-09-03,2017-10-23,15.47
2017-09-03,2017-10-24,5.22
2017-09-03,2017-10-25,58.21
2017-09-03,2017-10-26,0.01
2017-09-03,2017-10-27,1.02
2017-09-03,2017-10-28,1.7
2017-09-03,2017-10-29,0.66
2017-09-03,2017-10-30,43.18
2017-09-03,2017-10-31,1510.42
2017-09-03,2017-11-01,10.33
2017-09-03,2017-11-02,11.02
2017-09-03,2017-11-03,2.8
2017-09-03,2017-11-04,2.9
2017-09-03,2017-11-05,20.4
2017-09-03,2017-11-06,0.1
2017-09-03,2017-11-07,54.3
2017-09-03,2017-11-08,29.2
2017-09-03,2017-11-09,80.90000000000001
2017-09-03,2017-11-10,54.505
2017-09-03,2017-11-11,103.74
2017-09-03,2017-11-12,0.6
2017-09-03,2017-11-13,NULL
2017-09-03,2017-11-14,60
2017-09-03,2017-11-15,97.255
2017-09-03,2017-11-16,0.2
2017-09-03,2017-11-17,9.6
2017-09-03,2017-11-18,2.6
2017-09-03,2017-11-19,1.4
2017-09-03,2017-11-20,6.2
2017-09-03,2017-11-21,154
2017-09-03,2017-11-22,0.8
2017-09-03,2017-11-23,11.5
2017-09-03,2017-11-24,1
2017-09-03,2017-11-25,2
2017-09-03,2017-11-26,0.4
2017-09-03,2017-11-27,1
2017-09-03,2017-11-28,11.3
2017-09-03,2017-11-29,2.5
2017-09-03,2017-11-30,1371.6
2017-09-03,2017-12-01,2.2
2017-09-03,2017-12-02,2.8
2017-09-03,2017-12-03,0.2
2017-09-03,2017-12-04,0.9
2017-09-03,2017-12-05,1
2017-09-03,2017-12-06,NULL
2017-09-03,2017-12-07,2.4
2017-09-03,2017-12-08,1.3
2017-09-03,2017-12-09,NULL
2017-09-03,2017-12-10,0.3
2017-09-03,2017-12-11,0.8
2017-09-03,2017-12-12,195.75
2017-09-03,2017-12-13,99.34999999999999
2017-09-03,2017-12-14,0.2
2017-09-03,2017-12-15,94.7
2017-09-03,2017-12-16,NULL
2017-09-03,2017-12-17,1.3
2017-09-03,2017-12-18,72.02
2017-09-03,2017-12-19,NULL
2017-09-03,2017-12-20,2.3
2017-09-03,2017-12-21,2.6
2017-09-03,2017-12-22,1
2017-09-03,2017-12-23,NULL
2017-09-03,2017-12-24,60
2017-09-03,2017-12-25,0.2
2017-09-03,2017-12-26,NULL
2017-09-03,2017-12-27,39.8
2017-09-03,2017-12-28,2
2017-09-03,2017-12-29,NULL
2017-09-03,2017-12-30,0.2
2017-09-03,2017-12-31,NULL
2017-09-03,2018-01-01,0.4
2017-09-03,2018-01-02,1
2017-09-03,2018-01-03,12.1
2017-09-03,2018-01-04,16.1
2017-09-03,2018-01-05,0.3
2017-09-03,2018-01-06,1.1
2017-09-03,2018-01-07,NULL
2017-09-03,2018-01-08,6
2017-09-03,2018-01-09,4
2017-09-03,2018-01-10,10.2
2017-09-03,2018-01-11,3
2017-09-03,2018-01-12,3.4
2017-09-03,2018-01-13,2.5
2017-09-03,2018-01-14,2
2017-09-03,2018-01-15,1
2017-09-03,2018-01-16,57.41
2017-09-03,2018-01-17,NULL
2017-09-03,2018-01-18,3.1
2017-09-03,2018-01-19,2.2
2017-09-03,2018-01-20,2
2017-09-03,2018-01-21,50
2017-09-03,2018-01-22,20
2017-09-03,2018-01-23,NULL
2017-09-03,2018-01-24,3
2017-09-03,2018-01-25,0.4
2017-09-04,2017-09-01,NULL
2017-09-04,2017-09-02,NULL
2017-09-04,2017-09-03,NULL
2017-09-04,2017-09-04,627.972
2017-09-04,2017-09-05,1983.437
2017-09-04,2017-09-06,236.975
2017-09-04,2017-09-07,575.016
2017-09-04,2017-09-08,173.074
2017-09-04,2017-09-09,39.26
2017-09-04,2017-09-10,1144.186
2017-09-04,2017-09-11,1781.5
2017-09-04,2017-09-12,21.75
2017-09-04,2017-09-13,13.41
2017-09-04,2017-09-14,64.53
2017-09-04,2017-09-15,30.29
2017-09-04,2017-09-16,245.1
2017-09-04,2017-09-17,977.812
2017-09-04,2017-09-18,733.826
2017-09-04,2017-09-19,411.85
2017-09-04,2017-09-20,313.31
2017-09-04,2017-09-21,219.54
2017-09-04,2017-09-22,75.31999999999999
2017-09-04,2017-09-23,29.52
2017-09-04,2017-09-24,7.25
2017-09-04,2017-09-25,3.25
2017-09-04,2017-09-26,597.53
2017-09-04,2017-09-27,3.78
2017-09-04,2017-09-28,15.5
2017-09-04,2017-09-29,64.76000000000001
2017-09-04,2017-09-30,5893.12
2017-09-04,2017-10-01,111.04
2017-09-04,2017-10-02,104.68
2017-09-04,2017-10-03,2.85
2017-09-04,2017-10-04,3.23
2017-09-04,2017-10-05,2.39
2017-09-04,2017-10-06,0.84
2017-09-04,2017-10-07,6.97
2017-09-04,2017-10-08,2.15
2017-09-04,2017-10-09,50.16
2017-09-04,2017-10-10,20.54
2017-09-04,2017-10-11,9.029999999999999
2017-09-04,2017-10-12,209.05
2017-09-04,2017-10-13,69.14
2017-09-04,2017-10-14,19.93
2017-09-04,2017-10-15,1.63
2017-09-04,2017-10-16,0.08
2017-09-04,2017-10-17,0
2017-09-04,2017-10-18,101.91
2017-09-04,2017-10-19,18.34
2017-09-04,2017-10-20,22.448
2017-09-04,2017-10-21,0.67
2017-09-04,2017-10-22,179.78
2017-09-04,2017-10-23,60.452
2017-09-04,2017-10-24,1.01
2017-09-04,2017-10-25,0.03
2017-09-04,2017-10-26,6.238
2017-09-04,2017-10-27,0.17
2017-09-04,2017-10-28,0.38
2017-09-04,2017-10-29,9.32
2017-09-04,2017-10-30,11.23
2017-09-04,2017-10-31,2843.79
2017-09-04,2017-11-01,0.9
2017-09-04,2017-11-02,4.7
2017-09-04,2017-11-03,1.7
2017-09-04,2017-11-04,0.2
2017-09-04,2017-11-05,9.08
2017-09-04,2017-11-06,0.2
2017-09-04,2017-11-07,5.64
2017-09-04,2017-11-08,44.7
2017-09-04,2017-11-09,7.9
2017-09-04,2017-11-10,105.7
2017-09-04,2017-11-11,2.2
2017-09-04,2017-11-12,48
2017-09-04,2017-11-13,0.2
2017-09-04,2017-11-14,47.52
2017-09-04,2017-11-15,1.14
2017-09-04,2017-11-16,2.3
2017-09-04,2017-11-17,2.7
2017-09-04,2017-11-18,5.3
2017-09-04,2017-11-19,0.46
2017-09-04,2017-11-20,20.1
2017-09-04,2017-11-21,0.6
2017-09-04,2017-11-22,43.9
2017-09-04,2017-11-23,406.8
2017-09-04,2017-11-24,8.16
2017-09-04,2017-11-25,NULL
2017-09-04,2017-11-26,0.6
2017-09-04,2017-11-27,5
2017-09-04,2017-11-28,588.4
2017-09-04,2017-11-29,NULL
2017-09-04,2017-11-30,7935.52
2017-09-04,2017-12-01,NULL
2017-09-04,2017-12-02,0.6
2017-09-04,2017-12-03,1.2
2017-09-04,2017-12-04,10
2017-09-04,2017-12-05,30
2017-09-04,2017-12-06,34.2
2017-09-04,2017-12-07,0.6
2017-09-04,2017-12-08,2
2017-09-04,2017-12-09,1.2
2017-09-04,2017-12-10,1.6
2017-09-04,2017-12-11,1.8
2017-09-04,2017-12-12,3.8
